project;merge commit;className;method;left modifications;has_build;left deletions;right modifications;right deletions
druid;05168808c278c080c59c19e858d9471b316cd1f5;com.metamx.druid.loading.S3SegmentPusher;DataSegment com.metamx.druid.loading.S3SegmentPusher.push(File, DataSegment);[66, 118, 139, 110];True;[];[105, 125];[]
webbit;74d2d2b87704d003acacb34e4ca8fb5f897b938f;org.webbitserver.netty.WebSocketClient; void org.webbitserver.netty.WebSocketClient.adjustPipelineToWebSocket(ChannelHandlerContext, MessageEvent, ChannelHandler, ChannelHandler);[260];True;[];[262];[]
resty-gwt;867b917c43c32acbdcac55767e7f04334006c866;org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;String org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator.getMethodCallback(JMethod);[83, 84, 85];True;[];[86, 87, 88, 89, 90, 91];[]
OpenTripPlanner;4c506dce43775704919d084f0acfba86d251bf4a;org.opentripplanner.routing.spt.MultiShortestPathTree;boolean org.opentripplanner.routing.spt.MultiShortestPathTree.dominates(State, State);[144, 146, 147, 148, 149, 152, 141];True;[];[123];[]
storm;ad2be678831b3b060229fd936e3908110162b7ac;org.apache.storm.kafka.spout.KafkaSpoutConfig;void org.apache.storm.kafka.spout.KafkaSpoutConfig.KafkaSpoutConfig(Builder<K,V>);[];True;[];[435, 436, 437, 438, 439, 440, 441, 430, 431];[]
storm;bd1f5c54752f67b484a83c26667331234234d3a3;org.apache.storm.kafka.spout.KafkaSpout;boolean org.apache.storm.kafka.spout.KafkaSpout.emitTupleIfNotEmitted(ConsumerRecord<K,V>);[305, 306, 307, 312];True;[];[316, 319];[]
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;org.jsoup.helper.HttpConnection; Response org.jsoup.helper.HttpConnection.execute(Connection.Request, Response);[584, 585, 586];True;[];[544, 547];[]
jsoup;fee4762322f85a1109edd75ccb67f38cf5008c80;org.jsoup.helper.HttpConnection; HttpURLConnection org.jsoup.helper.HttpConnection.createConnection(Connection.Request);[609, 610, 611, 612, 613, 614];True;[];[617];[]
jsoup;a8b6982de98ff76ef254031d7152fff57f6bf941;org.jsoup.helper.HttpConnection; Response org.jsoup.helper.HttpConnection.execute(Connection.Request, Response);[584, 585, 586];True;[];[544, 547];[]
okhttp;35166168529bd27281685e56a0a122eff44460e9;realistic.copyWithDefaults.source.com.squareup.okhttp.OkHttpClient; OkHttpClient realistic.copyWithDefaults.source.com.squareup.okhttp.OkHttpClient.copyWithDefaults();[277, 293];True;[];[287];[]
pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager; void com.relayrides.pushy.apns.PushManager.handleConnectionFailure(ApnsConnection<T>, Throwable);[481, 482, 483, 484, 485, 476, 478];True;[];[490];[]
pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager; void com.relayrides.pushy.apns.PushManager.handleConnectionClosure(ApnsConnection<T>);[520, 510];True;[];[515, 500, 502, 503];[]
java-faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;com.github.javafaker.Faker;void com.github.javafaker.Faker.Faker(Locale, Random);[69, 59];True;[];[70];[]
swagger-core;e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2;io.swagger.jaxrs2.OperationParser; Optional io.swagger.jaxrs2.OperationParser.getSchemaFromAnnotation(io.swagger.oas.annotations.media.Schema);[240, 241, 234, 235, 236, 237, 238, 239];True;[];[244, 187, 188];[]
dropwizard;ddd15a681bf42360337844412cae4aba1556eb88;io.dropwizard.setup.Bootstrap; void io.dropwizard.setup.Bootstrap.Bootstrap(Application<T>);[71];True;[];[65, 67, 68, 69];[]
